genome1	genome2	chr1	chr2	blkID	startBp1	endBp1	startOrd1	endOrd1	firstGene1	lastGene1	nHits1	minBp2	maxBp2	minOrd2	maxOrd2	minGene2	maxGene2	nHits2	orient	startBp2	endBp2	startOrd2	endOrd2	firstGene2	lastGene2
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 156	51129595	54269774	29030	29103	2_12830	2_12903	22	119383859	122092826	8503	8548	1_9744	1_9789	22	+	119383859	122092826	8503	8548	1_9744	1_9789
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 100	1221480	7973255	6229	6340	1_7470	1_7581	51	1003344	7652709	20773	20893	2_22823	2_22943	51	-	7652709	1003344	20893	20773	2_22943	2_22823
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 103	12828600	14520042	6427	6465	1_7668	1_7706	19	16144652	18439100	21033	21077	2_23083	2_23127	19	-	18439100	16144652	21077	21033	2_23127	2_23083
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 110	20081187	20868451	6560	6581	1_7801	1_7822	8	23985075	24564555	21158	21173	2_23208	2_23223	8	-	24564555	23985075	21173	21158	2_23223	2_23208
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 113	28065114	28662584	6729	6739	1_7970	1_7980	8	33089568	33445945	21349	21357	2_23399	2_23407	8	-	33445945	33089568	21357	21349	2_23407	2_23399
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 117	33187829	33970983	6804	6814	1_8045	1_8055	6	41278906	42007200	21508	21522	2_23558	2_23572	6	-	42007200	41278906	21522	21508	2_23572	2_23558
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 120	39373221	40622635	6897	6929	1_8138	1_8170	15	44629245	45456663	21568	21594	2_23618	2_23644	15	-	45456663	44629245	21594	21568	2_23644	2_23618
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 121	41329051	44235872	6941	6995	1_8182	1_8236	26	46670984	49411681	21611	21673	2_23661	2_23723	26	-	49411681	46670984	21673	21611	2_23723	2_23661
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 125	57999711	58556233	7240	7251	1_8481	1_8492	11	64409001	65117437	22011	22029	2_24061	2_24079	11	-	65117437	64409001	22029	22011	2_24079	2_24061
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 128	61271093	61710431	7304	7318	1_8545	1_8559	9	67429718	67843239	22091	22105	2_24141	2_24155	9	-	67843239	67429718	22105	22091	2_24155	2_24141
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 131	63823175	64958884	7369	7389	1_8610	1_8630	12	68872775	70376868	22151	22197	2_24201	2_24247	12	-	70376868	68872775	22197	22151	2_24247	2_24201
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 135	65779352	66353369	7411	7427	1_8652	1_8668	11	71904953	72396444	22237	22255	2_24287	2_24305	11	-	72396444	71904953	22255	22237	2_24305	2_24287
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 157	121981907	135128328	8547	8759	1_9788	1_10000	91	87113849	97713074	22649	22976	2_24699	2_25026	91	-	97713074	87113849	22976	22649	2_25026	2_24699
Dhello	Dluego	dh2	dl5	Dluego_vs_Dhello: 159	137131107	140818264	8800	8885	1_10041	1_10126	36	81502152	85116858	22478	22597	2_24528	2_24647	36	-	85116858	81502152	22597	22478	2_24647	2_24528
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 161	144419373	174054171	8948	9544	1_10189	1_10785	231	128464256	157902747	27268	27885	2_22171	2_22788	231	-	157902747	128464256	27885	27268	2_22788	2_22171
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 163	176362205	180159423	9594	9690	1_10835	1_10931	47	123040530	126349155	27113	27205	2_22016	2_22108	47	-	126349155	123040530	27205	27113	2_22108	2_22016
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 166	184362251	205836457	9775	10196	1_11016	1_11437	181	97935933	119650299	26450	27037	2_21353	2_21940	181	-	119650299	97935933	27037	26450	2_21940	2_21353
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 168	207067619	212080000	10213	10279	1_11454	1_11520	34	92359786	96905805	26363	26433	2_21266	2_21336	34	-	96905805	92359786	26433	26363	2_21336	2_21266
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 171	219589278	229686002	10386	10578	1_11627	1_11819	85	78536893	87979726	26121	26297	2_21024	2_21200	85	-	87979726	78536893	26297	26121	2_21200	2_21024
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 173	230790741	248062090	10617	10993	1_11858	1_12234	171	62428783	77586880	25749	26098	2_20652	2_21001	171	-	77586880	62428783	26098	25749	2_21001	2_20652
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 175	249121572	251296843	11004	11053	1_12245	1_12294	17	59706484	61363443	25692	25734	2_20595	2_20637	17	-	61363443	59706484	25734	25692	2_20637	2_20595
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 177	251774479	262506715	11066	11305	1_12307	1_12546	116	47790714	59224720	25425	25678	2_20328	2_20581	116	-	59224720	47790714	25678	25425	2_20581	2_20328
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 179	263376900	272039446	11323	11496	1_12564	1_12737	84	40398004	46758262	25267	25401	2_20170	2_20304	84	-	46758262	40398004	25401	25267	2_20304	2_20170
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 183	273359724	274697534	11518	11541	1_12759	1_12782	13	37958362	39267536	25229	25246	2_20132	2_20149	13	-	39267536	37958362	25246	25229	2_20149	2_20132
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 187	276469414	277812549	11575	11596	1_12816	1_12837	13	34871361	36143473	25167	25196	2_20070	2_20099	13	-	36143473	34871361	25196	25167	2_20099	2_20070
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 190	280037029	283064647	11636	11663	1_12877	1_12904	15	29725375	32548406	25069	25112	2_19972	2_20015	15	-	32548406	29725375	25112	25069	2_20015	2_19972
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 194	284062739	284563034	11688	11704	1_12929	1_12945	9	27803549	28297384	25033	25044	2_19936	2_19947	9	-	28297384	27803549	25044	25033	2_19947	2_19936
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 196	285611311	288481065	11729	11776	1_12970	1_13017	34	24533393	26921670	24949	25002	2_19852	2_19905	34	-	26921670	24533393	25002	24949	2_19905	2_19852
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 200	290062434	290349763	11803	11812	1_13044	1_13053	6	23751507	24039899	24926	24934	2_19829	2_19837	6	-	24039899	23751507	24934	24926	2_19837	2_19829
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 201	290419860	290598495	11818	11833	1_13059	1_13074	8	22908572	23131184	24889	24904	2_19792	2_19807	8	-	23131184	22908572	24904	24889	2_19807	2_19792
Dhello	Dluego	dh2	dl6	Dluego_vs_Dhello: 203	291194549	307852371	11845	12181	1_13086	1_13422	176	5130780	22156326	24554	24870	2_19457	2_19773	176	-	22156326	5130780	24870	24554	2_19773	2_19457
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 140	79616399	80071982	7679	7686	1_8920	1_8927	5	8934119	9397622	28111	28126	2_11911	2_11926	5	-	9397622	8934119	28126	28111	2_11926	2_11911
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 142	82554946	83413036	7748	7762	1_8989	1_9003	7	12357177	13118934	28180	28195	2_11980	2_11995	7	-	13118934	12357177	28195	28180	2_11995	2_11980
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 145	83985022	85839449	7775	7803	1_9016	1_9044	7	14896872	15853187	28242	28262	2_12042	2_12062	7	-	15853187	14896872	28262	28242	2_12062	2_12042
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 150	106728595	107366491	8248	8257	1_9489	1_9498	9	37066041	37624669	28684	28704	2_12484	2_12504	9	-	37624669	37066041	28704	28684	2_12504	2_12484
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 152	109892369	110683275	8301	8324	1_9542	1_9565	12	41799855	42829429	28764	28804	2_12564	2_12604	12	-	42829429	41799855	28804	28764	2_12604	2_12564
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 153	110892379	111666331	8336	8354	1_9577	1_9595	12	43106705	43661528	28809	28821	2_12609	2_12621	12	-	43661528	43106705	28821	28809	2_12621	2_12609
Dhello	Dluego	dh2	dl7	Dluego_vs_Dhello: 155	117504755	119028890	8477	8498	1_9718	1_9739	19	49752068	50981325	29004	29028	2_12804	2_12828	19	-	50981325	49752068	29028	29004	2_12828	2_12804
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 100	1003344	7652709	20773	20893	2_22823	2_22943	51	1221480	7973255	6229	6340	1_7470	1_7581	51	-	7973255	1221480	6340	6229	1_7581	1_7470
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 103	16144652	18439100	21033	21077	2_23083	2_23127	19	12828600	14520042	6427	6465	1_7668	1_7706	19	-	14520042	12828600	6465	6427	1_7706	1_7668
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 110	23985075	24564555	21158	21173	2_23208	2_23223	8	20081187	20868451	6560	6581	1_7801	1_7822	8	-	20868451	20081187	6581	6560	1_7822	1_7801
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 113	33089568	33445945	21349	21357	2_23399	2_23407	8	28065114	28662584	6729	6739	1_7970	1_7980	8	-	28662584	28065114	6739	6729	1_7980	1_7970
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 117	41278906	42007200	21508	21522	2_23558	2_23572	6	33187829	33970983	6804	6814	1_8045	1_8055	6	-	33970983	33187829	6814	6804	1_8055	1_8045
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 120	44629245	45456663	21568	21594	2_23618	2_23644	15	39373221	40622635	6897	6929	1_8138	1_8170	15	-	40622635	39373221	6929	6897	1_8170	1_8138
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 121	46670984	49411681	21611	21673	2_23661	2_23723	26	41329051	44235872	6941	6995	1_8182	1_8236	26	-	44235872	41329051	6995	6941	1_8236	1_8182
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 125	64409001	65117437	22011	22029	2_24061	2_24079	11	57999711	58556233	7240	7251	1_8481	1_8492	11	-	58556233	57999711	7251	7240	1_8492	1_8481
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 128	67429718	67843239	22091	22105	2_24141	2_24155	9	61271093	61710431	7304	7318	1_8545	1_8559	9	-	61710431	61271093	7318	7304	1_8559	1_8545
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 131	68872775	70376868	22151	22197	2_24201	2_24247	12	63823175	64958884	7369	7389	1_8610	1_8630	12	-	64958884	63823175	7389	7369	1_8630	1_8610
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 135	71904953	72396444	22237	22255	2_24287	2_24305	11	65779352	66353369	7411	7427	1_8652	1_8668	11	-	66353369	65779352	7427	7411	1_8668	1_8652
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 157	87113849	97713074	22649	22976	2_24699	2_25026	91	121981907	135128328	8547	8759	1_9788	1_10000	91	-	135128328	121981907	8759	8547	1_10000	1_9788
Dluego	Dhello	dl5	dh2	Dluego_vs_Dhello: 159	81502152	85116858	22478	22597	2_24528	2_24647	36	137131107	140818264	8800	8885	1_10041	1_10126	36	-	140818264	137131107	8885	8800	1_10126	1_10041
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 161	128464256	157902747	27268	27885	2_22171	2_22788	231	144419373	174054171	8948	9544	1_10189	1_10785	231	-	174054171	144419373	9544	8948	1_10785	1_10189
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 163	123040530	126349155	27113	27205	2_22016	2_22108	47	176362205	180159423	9594	9690	1_10835	1_10931	47	-	180159423	176362205	9690	9594	1_10931	1_10835
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 166	97935933	119650299	26450	27037	2_21353	2_21940	181	184362251	205836457	9775	10196	1_11016	1_11437	181	-	205836457	184362251	10196	9775	1_11437	1_11016
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 168	92359786	96905805	26363	26433	2_21266	2_21336	34	207067619	212080000	10213	10279	1_11454	1_11520	34	-	212080000	207067619	10279	10213	1_11520	1_11454
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 171	78536893	87979726	26121	26297	2_21024	2_21200	85	219589278	229686002	10386	10578	1_11627	1_11819	85	-	229686002	219589278	10578	10386	1_11819	1_11627
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 173	62428783	77586880	25749	26098	2_20652	2_21001	171	230790741	248062090	10617	10993	1_11858	1_12234	171	-	248062090	230790741	10993	10617	1_12234	1_11858
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 175	59706484	61363443	25692	25734	2_20595	2_20637	17	249121572	251296843	11004	11053	1_12245	1_12294	17	-	251296843	249121572	11053	11004	1_12294	1_12245
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 177	47790714	59224720	25425	25678	2_20328	2_20581	116	251774479	262506715	11066	11305	1_12307	1_12546	116	-	262506715	251774479	11305	11066	1_12546	1_12307
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 179	40398004	46758262	25267	25401	2_20170	2_20304	84	263376900	272039446	11323	11496	1_12564	1_12737	84	-	272039446	263376900	11496	11323	1_12737	1_12564
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 183	37958362	39267536	25229	25246	2_20132	2_20149	13	273359724	274697534	11518	11541	1_12759	1_12782	13	-	274697534	273359724	11541	11518	1_12782	1_12759
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 187	34871361	36143473	25167	25196	2_20070	2_20099	13	276469414	277812549	11575	11596	1_12816	1_12837	13	-	277812549	276469414	11596	11575	1_12837	1_12816
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 190	29725375	32548406	25069	25112	2_19972	2_20015	15	280037029	283064647	11636	11663	1_12877	1_12904	15	-	283064647	280037029	11663	11636	1_12904	1_12877
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 194	27803549	28297384	25033	25044	2_19936	2_19947	9	284062739	284563034	11688	11704	1_12929	1_12945	9	-	284563034	284062739	11704	11688	1_12945	1_12929
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 196	24533393	26921670	24949	25002	2_19852	2_19905	34	285611311	288481065	11729	11776	1_12970	1_13017	34	-	288481065	285611311	11776	11729	1_13017	1_12970
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 200	23751507	24039899	24926	24934	2_19829	2_19837	6	290062434	290349763	11803	11812	1_13044	1_13053	6	-	290349763	290062434	11812	11803	1_13053	1_13044
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 201	22908572	23131184	24889	24904	2_19792	2_19807	8	290419860	290598495	11818	11833	1_13059	1_13074	8	-	290598495	290419860	11833	11818	1_13074	1_13059
Dluego	Dhello	dl6	dh2	Dluego_vs_Dhello: 203	5130780	22156326	24554	24870	2_19457	2_19773	176	291194549	307852371	11845	12181	1_13086	1_13422	176	-	307852371	291194549	12181	11845	1_13422	1_13086
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 140	8934119	9397622	28111	28126	2_11911	2_11926	5	79616399	80071982	7679	7686	1_8920	1_8927	5	-	80071982	79616399	7686	7679	1_8927	1_8920
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 142	12357177	13118934	28180	28195	2_11980	2_11995	7	82554946	83413036	7748	7762	1_8989	1_9003	7	-	83413036	82554946	7762	7748	1_9003	1_8989
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 145	14896872	15853187	28242	28262	2_12042	2_12062	7	83985022	85839449	7775	7803	1_9016	1_9044	7	-	85839449	83985022	7803	7775	1_9044	1_9016
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 150	37066041	37624669	28684	28704	2_12484	2_12504	9	106728595	107366491	8248	8257	1_9489	1_9498	9	-	107366491	106728595	8257	8248	1_9498	1_9489
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 152	41799855	42829429	28764	28804	2_12564	2_12604	12	109892369	110683275	8301	8324	1_9542	1_9565	12	-	110683275	109892369	8324	8301	1_9565	1_9542
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 153	43106705	43661528	28809	28821	2_12609	2_12621	12	110892379	111666331	8336	8354	1_9577	1_9595	12	-	111666331	110892379	8354	8336	1_9595	1_9577
Dluego	Dhello	dl7	dh2	Dluego_vs_Dhello: 155	49752068	50981325	29004	29028	2_12804	2_12828	19	117504755	119028890	8477	8498	1_9718	1_9739	19	-	119028890	117504755	8498	8477	1_9739	1_9718
Depa	Dhello	de5	dh2	Depa_vs_Dhello: 143	154727658	156045849	25510	25550	0_10835	0_10875	7	75820554	76907334	7587	7613	1_8828	1_8854	7	+	75820554	76907334	7587	7613	1_8828	1_8854
Depa	Dhello	de5	dh2	Depa_vs_Dhello: 146	145961854	146747208	25289	25307	0_10614	0_10632	13	82284186	83413036	7740	7762	1_8981	1_9003	13	+	82284186	83413036	7740	7762	1_8981	1_9003
Depa	Dhello	de5	dh2	Depa_vs_Dhello: 148	142534378	144501717	25206	25254	0_10531	0_10579	11	85376824	86898629	7798	7821	1_9039	1_9062	11	+	85376824	86898629	7798	7821	1_9039	1_9062
Depa	Dhello	de5	dh2	Depa_vs_Dhello: 151	141190449	141392075	25169	25178	0_10494	0_10503	7	89195276	89463065	7857	7864	1_9098	1_9105	7	+	89195276	89463065	7857	7864	1_9098	1_9105
Depa	Dhello	de5	dh2	Depa_vs_Dhello: 153	138142850	138546960	25090	25102	0_10415	0_10427	9	91092167	91534211	7899	7913	1_9140	1_9154	9	+	91092167	91534211	7899	7913	1_9140	1_9154
Depa	Dhello	de5	dh2	Depa_vs_Dhello: 155	131765298	132192347	24951	24960	0_10276	0_10285	7	98856508	99759958	8072	8086	1_9313	1_9327	7	+	98856508	99759958	8072	8086	1_9313	1_9327
Depa	Dhello	de5	dh2	Depa_vs_Dhello: 159	124034375	124681237	24807	24818	0_10132	0_10143	7	106728595	107366491	8248	8257	1_9489	1_9498	7	+	106728595	107366491	8248	8257	1_9489	1_9498
Depa	Dhello	de5	dh2	Depa_vs_Dhello: 161	120889044	121769109	24712	24743	0_10037	0_10068	13	109796084	110601421	8300	8321	1_9541	1_9562	13	+	109796084	110601421	8300	8321	1_9541	1_9562
Depa	Dhello	de5	dh2	Depa_vs_Dhello: 162	120344739	120835319	24699	24711	0_10024	0_10036	11	110932983	111666331	8337	8354	1_9578	1_9595	11	+	110932983	111666331	8337	8354	1_9578	1_9595
Depa	Dhello	de5	dh2	Depa_vs_Dhello: 164	111860801	113333348	24459	24498	0_9784	0_9823	18	117504755	119298397	8477	8502	1_9718	1_9743	18	+	117504755	119298397	8477	8502	1_9718	1_9743
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 109	385624	7523167	25628	25785	0_16536	0_16693	44	498168	5955421	6217	6316	1_7458	1_7557	44	+	498168	5955421	6217	6316	1_7458	1_7557
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 116	16253106	19750191	25953	26032	0_16861	0_16940	22	15723275	19381998	6482	6544	1_7723	1_7785	22	+	15723275	19381998	6482	6544	1_7723	1_7785
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 118	21948000	26710066	26080	26178	0_16988	0_17086	25	21110341	26449542	6594	6692	1_7835	1_7933	25	+	21110341	26449542	6594	6692	1_7835	1_7933
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 120	27638877	33979017	26194	26313	0_17102	0_17221	37	27117759	32107251	6715	6798	1_7956	1_8039	37	+	27117759	32107251	6715	6798	1_7956	1_8039
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 123	35039492	35721945	26335	26357	0_17243	0_17265	8	34655835	35213678	6827	6841	1_8068	1_8082	8	+	34655835	35213678	6827	6841	1_8068	1_8082
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 129	41561051	41719088	26480	26491	0_17388	0_17399	8	39555335	39935413	6908	6922	1_8149	1_8163	8	+	39555335	39935413	6908	6922	1_8149	1_8163
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 131	43290099	58506135	26534	26870	0_17442	0_17778	129	42223120	57811327	6963	7237	1_8204	1_8478	129	+	42223120	57811327	6963	7237	1_8204	1_8478
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 135	61670407	61956617	26980	26990	0_17888	0_17898	6	60764270	61103566	7290	7299	1_8531	1_8540	6	+	60764270	61103566	7290	7299	1_8531	1_8540
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 137	62318707	65983835	27004	27106	0_17912	0_18014	42	61824627	65521112	7319	7404	1_8560	1_8645	42	+	61824627	65521112	7319	7404	1_8560	1_8645
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 139	66929268	71187112	27133	27260	0_18041	0_18168	41	66599233	72224227	7430	7524	1_8671	1_8765	41	+	66599233	72224227	7430	7524	1_8671	1_8765
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 168	85785617	86714126	27633	27654	0_18541	0_18562	11	127266652	128367264	8628	8642	1_9869	1_9883	11	+	127266652	128367264	8628	8642	1_9869	1_9883
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 170	83914973	84772056	27587	27604	0_18495	0_18512	14	129744503	130992500	8672	8690	1_9913	1_9931	14	+	129744503	130992500	8672	8690	1_9913	1_9931
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 172	78958755	80257618	27473	27506	0_18381	0_18414	23	134329109	136254351	8754	8784	1_9995	1_10025	23	+	134329109	136254351	8754	8784	1_9995	1_10025
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 173	75828846	76263134	27398	27405	0_18306	0_18313	7	137208586	138264948	8802	8822	1_10043	1_10063	7	+	137208586	138264948	8802	8822	1_10043	1_10063
Depa	Dhello	de6	dh2	Depa_vs_Dhello: 175	74580204	75741696	27367	27397	0_18275	0_18305	17	139292950	140696276	8852	8883	1_10093	1_10124	17	+	139292950	140696276	8852	8883	1_10093	1_10124
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 177	7029918	7833577	29522	29553	0_3577	0_3608	14	144419373	145665284	8948	8978	1_10189	1_10219	14	+	144419373	145665284	8948	8978	1_10189	1_10219
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 183	10833225	20272921	29621	29816	0_3676	0_3871	93	155976723	166440750	9179	9396	1_10420	1_10637	93	+	155976723	166440750	9179	9396	1_10420	1_10637
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 185	21561023	27777365	29840	29989	0_3895	0_4044	63	167297510	173874895	9416	9541	1_10657	1_10782	63	+	167297510	173874895	9416	9541	1_10657	1_10782
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 187	27848817	28464983	29991	30007	0_4046	0_4062	8	175694419	176068274	9578	9588	1_10819	1_10829	8	+	175694419	176068274	9578	9588	1_10819	1_10829
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 188	29902127	34118812	30053	30154	0_4108	0_4209	64	176362205	180946867	9594	9706	1_10835	1_10947	64	+	176362205	180946867	9594	9706	1_10835	1_10947
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 190	35486630	48612855	30188	30536	0_4243	0_4591	130	182656551	195140873	9738	10014	1_10979	1_11255	130	+	182656551	195140873	9738	10014	1_10979	1_11255
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 193	49781896	56572610	30572	30743	0_4627	0_4798	56	196691972	204299880	10039	10173	1_11280	1_11414	56	+	196691972	204299880	10039	10173	1_11280	1_11414
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 195	57480246	57934687	30772	30784	0_4827	0_4839	6	205243971	205836457	10187	10196	1_11428	1_11437	6	+	205243971	205836457	10187	10196	1_11428	1_11437
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 197	58658294	61938570	30801	30854	0_4856	0_4909	23	207067619	209699041	10213	10246	1_11454	1_11487	23	+	207067619	209699041	10213	10246	1_11454	1_11487
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 201	70968919	80225332	30990	31221	0_5045	0_5276	88	219589278	229686002	10386	10578	1_11627	1_11819	88	+	219589278	229686002	10386	10578	1_11627	1_11819
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 203	81140718	90574542	31267	31514	0_5322	0_5569	106	230790741	242218597	10617	10856	1_11858	1_12097	106	+	230790741	242218597	10617	10856	1_11858	1_12097
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 205	91186515	101229884	31531	31759	0_5586	0_5814	80	242911160	251296843	10880	11053	1_12121	1_12294	80	+	242911160	251296843	10880	11053	1_12121	1_12294
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 207	101610740	102062242	31771	31782	0_5826	0_5837	9	251774479	252245947	11066	11078	1_12307	1_12319	9	+	251774479	252245947	11066	11078	1_12307	1_12319
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 209	102637064	116788012	31796	32119	0_5851	0_6174	133	252782192	265740158	11092	11363	1_12333	1_12604	133	+	252782192	265740158	11092	11363	1_12333	1_12604
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 212	118376641	121335604	32159	32229	0_6214	0_6284	35	267663420	271882673	11419	11492	1_12660	1_12733	35	+	267663420	271882673	11419	11492	1_12660	1_12733
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 216	122608928	127186345	32253	32365	0_6308	0_6420	44	273431091	278439543	11519	11607	1_12760	1_12848	44	+	273431091	278439543	11519	11607	1_12760	1_12848
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 218	128718116	131139664	32395	32433	0_6450	0_6488	19	280037029	283246508	11636	11668	1_12877	1_12909	19	+	280037029	283246508	11636	11668	1_12877	1_12909
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 220	134480626	135434565	32514	32555	0_6569	0_6610	16	284251641	285667217	11694	11730	1_12935	1_12971	16	+	284251641	285667217	11694	11730	1_12935	1_12971
Depa	Dhello	de7	dh2	Depa_vs_Dhello: 222	135642010	156179622	32566	33094	0_6621	0_7149	219	287775029	310746465	11765	12227	1_13006	1_13468	219	+	287775029	310746465	11765	12227	1_13006	1_13468
Dhello	Depa	dh2	de5	Depa_vs_Dhello: 143	75820554	76907334	7587	7613	1_8828	1_8854	7	154727658	156045849	25510	25550	0_10835	0_10875	7	+	154727658	156045849	25510	25550	0_10835	0_10875
Dhello	Depa	dh2	de5	Depa_vs_Dhello: 146	82284186	83413036	7740	7762	1_8981	1_9003	13	145961854	146747208	25289	25307	0_10614	0_10632	13	+	145961854	146747208	25289	25307	0_10614	0_10632
Dhello	Depa	dh2	de5	Depa_vs_Dhello: 148	85376824	86898629	7798	7821	1_9039	1_9062	11	142534378	144501717	25206	25254	0_10531	0_10579	11	+	142534378	144501717	25206	25254	0_10531	0_10579
Dhello	Depa	dh2	de5	Depa_vs_Dhello: 151	89195276	89463065	7857	7864	1_9098	1_9105	7	141190449	141392075	25169	25178	0_10494	0_10503	7	+	141190449	141392075	25169	25178	0_10494	0_10503
Dhello	Depa	dh2	de5	Depa_vs_Dhello: 153	91092167	91534211	7899	7913	1_9140	1_9154	9	138142850	138546960	25090	25102	0_10415	0_10427	9	+	138142850	138546960	25090	25102	0_10415	0_10427
Dhello	Depa	dh2	de5	Depa_vs_Dhello: 155	98856508	99759958	8072	8086	1_9313	1_9327	7	131765298	132192347	24951	24960	0_10276	0_10285	7	+	131765298	132192347	24951	24960	0_10276	0_10285
